epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train_loss,val_loss
,2.3333333333333336e-05,2.3333333333333336e-05,2.3333333333333336e-05,49,,
0,,,,49,2.9018328189849854,
,4.714285714285714e-05,4.714285714285714e-05,4.714285714285714e-05,99,,
0,,,,99,2.867361068725586,
,7.095238095238096e-05,7.095238095238096e-05,7.095238095238096e-05,149,,
0,,,,149,3.3955929279327393,
,9.476190476190476e-05,9.476190476190476e-05,9.476190476190476e-05,199,,
0,,,,199,2.8737847805023193,
,9.793977812995247e-05,9.793977812995247e-05,9.793977812995247e-05,249,,
0,,,,249,2.8445708751678467,
,9.529846804014792e-05,9.529846804014792e-05,9.529846804014792e-05,299,,
0,,,,299,2.389024496078491,
,9.265715795034337e-05,9.265715795034337e-05,9.265715795034337e-05,349,,
0,,,,349,1.8434096574783325,
,9.001584786053883e-05,9.001584786053883e-05,9.001584786053883e-05,399,,
0,,,,399,2.2484755516052246,
,8.737453777073428e-05,8.737453777073428e-05,8.737453777073428e-05,449,,
0,,,,449,2.0038866996765137,
,8.473322768092975e-05,8.473322768092975e-05,8.473322768092975e-05,499,,
0,,,,499,2.3222453594207764,
,8.20919175911252e-05,8.20919175911252e-05,8.20919175911252e-05,549,,
0,,,,549,2.3742711544036865,
,7.945060750132066e-05,7.945060750132066e-05,7.945060750132066e-05,599,,
0,,,,599,2.8758349418640137,
,7.680929741151611e-05,7.680929741151611e-05,7.680929741151611e-05,649,,
0,,,,649,2.2730836868286133,
,7.416798732171158e-05,7.416798732171158e-05,7.416798732171158e-05,699,,
0,,,,699,2.480455160140991,
,7.152667723190702e-05,7.152667723190702e-05,7.152667723190702e-05,749,,
0,,,,749,2.4390676021575928,
,6.888536714210249e-05,6.888536714210249e-05,6.888536714210249e-05,799,,
0,,,,799,2.3155572414398193,
,6.624405705229794e-05,6.624405705229794e-05,6.624405705229794e-05,849,,
0,,,,849,2.0911171436309814,
,6.36027469624934e-05,6.36027469624934e-05,6.36027469624934e-05,899,,
0,,,,899,1.848260521888733,
,6.096143687268886e-05,6.096143687268886e-05,6.096143687268886e-05,949,,
0,,,,949,1.6401400566101074,
,5.832012678288431e-05,5.832012678288431e-05,5.832012678288431e-05,999,,
0,,,,999,2.516390085220337,
,5.567881669307977e-05,5.567881669307977e-05,5.567881669307977e-05,1049,,
0,,,,1049,2.4239253997802734,
,5.303750660327522e-05,5.303750660327522e-05,5.303750660327522e-05,1099,,
0,,,,1099,2.388667583465576,
,5.039619651347068e-05,5.039619651347068e-05,5.039619651347068e-05,1149,,
0,,,,1149,1.9173016548156738,
,4.775488642366614e-05,4.775488642366614e-05,4.775488642366614e-05,1199,,
0,,,,1199,2.1497037410736084,
,4.5113576333861596e-05,4.5113576333861596e-05,4.5113576333861596e-05,1249,,
0,,,,1249,2.0247247219085693,
,4.247226624405705e-05,4.247226624405705e-05,4.247226624405705e-05,1299,,
0,,,,1299,1.7986723184585571,
,3.983095615425251e-05,3.983095615425251e-05,3.983095615425251e-05,1349,,
0,,,,1349,2.414011001586914,
,3.718964606444797e-05,3.718964606444797e-05,3.718964606444797e-05,1399,,
0,,,,1399,2.6767499446868896,
,3.4548335974643426e-05,3.4548335974643426e-05,3.4548335974643426e-05,1449,,
0,,,,1449,1.8857276439666748,
,3.190702588483888e-05,3.190702588483888e-05,3.190702588483888e-05,1499,,
0,,,,1499,2.408076286315918,
,2.9265715795034338e-05,2.9265715795034338e-05,2.9265715795034338e-05,1549,,
0,,,,1549,2.037926435470581,
,2.6624405705229792e-05,2.6624405705229792e-05,2.6624405705229792e-05,1599,,
0,,,,1599,2.222872495651245,
,2.3983095615425253e-05,2.3983095615425253e-05,2.3983095615425253e-05,1649,,
0,,,,1649,1.944584608078003,
,2.1341785525620707e-05,2.1341785525620707e-05,2.1341785525620707e-05,1699,,
0,,,,1699,2.1703383922576904,
,1.8700475435816164e-05,1.8700475435816164e-05,1.8700475435816164e-05,1749,,
0,,,,1749,1.928656816482544,
,1.6059165346011622e-05,1.6059165346011622e-05,1.6059165346011622e-05,1799,,
0,,,,1799,2.2700681686401367,
,1.341785525620708e-05,1.341785525620708e-05,1.341785525620708e-05,1849,,
0,,,,1849,2.164929151535034,
,1.0776545166402537e-05,1.0776545166402537e-05,1.0776545166402537e-05,1899,,
0,,,,1899,2.2661280632019043,
,8.135235076597993e-06,8.135235076597993e-06,8.135235076597993e-06,1949,,
0,,,,1949,1.6093108654022217,
,5.49392498679345e-06,5.49392498679345e-06,5.49392498679345e-06,1999,,
0,,,,1999,2.5326075553894043,
,2.8526148969889066e-06,2.8526148969889066e-06,2.8526148969889066e-06,2049,,
0,,,,2049,2.532486915588379,
,2.1130480718436346e-07,2.1130480718436346e-07,2.1130480718436346e-07,2099,,
0,,,,2099,2.5386481285095215,
0,,,,2102,,0.0
