epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,train_vicreg_loss
,7.777777777777777e-06,7.777777777777777e-06,49,,
,7.777777777777777e-06,7.777777777777777e-06,49,,
0,,,49,0.0,0.0
,1.5714285714285715e-05,1.5714285714285715e-05,99,,
,1.5714285714285715e-05,1.5714285714285715e-05,99,,
0,,,99,0.0,0.0
,2.365079365079365e-05,2.365079365079365e-05,149,,
,2.365079365079365e-05,2.365079365079365e-05,149,,
0,,,149,0.0,0.0
,3.158730158730159e-05,3.158730158730159e-05,199,,
,3.158730158730159e-05,3.158730158730159e-05,199,,
0,,,199,0.0,0.0
,3.9523809523809526e-05,3.9523809523809526e-05,249,,
,3.9523809523809526e-05,3.9523809523809526e-05,249,,
0,,,249,0.0,0.0
