epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,train_vicreg_loss,val_loss,val_vicreg_loss
,7.777777777777777e-06,7.777777777777777e-06,49,,,,
,7.777777777777777e-06,7.777777777777777e-06,49,,,,
0,,,49,21.274402618408203,21.274402618408203,,
,1.5714285714285715e-05,1.5714285714285715e-05,99,,,,
,1.5714285714285715e-05,1.5714285714285715e-05,99,,,,
0,,,99,19.699337005615234,19.699337005615234,,
,2.365079365079365e-05,2.365079365079365e-05,149,,,,
,2.365079365079365e-05,2.365079365079365e-05,149,,,,
0,,,149,17.536785125732422,17.536785125732422,,
,3.158730158730159e-05,3.158730158730159e-05,199,,,,
,3.158730158730159e-05,3.158730158730159e-05,199,,,,
0,,,199,16.13480567932129,16.13480567932129,,
,3.9523809523809526e-05,3.9523809523809526e-05,249,,,,
,3.9523809523809526e-05,3.9523809523809526e-05,249,,,,
0,,,249,14.141061782836914,14.141061782836914,,
,4.746031746031746e-05,4.746031746031746e-05,299,,,,
,4.746031746031746e-05,4.746031746031746e-05,299,,,,
0,,,299,12.136792182922363,12.136792182922363,,
,5.53968253968254e-05,5.53968253968254e-05,349,,,,
,5.53968253968254e-05,5.53968253968254e-05,349,,,,
0,,,349,10.479555130004883,10.479555130004883,,
,6.333333333333333e-05,6.333333333333333e-05,399,,,,
,6.333333333333333e-05,6.333333333333333e-05,399,,,,
0,,,399,8.935957908630371,8.935957908630371,,
,7.126984126984128e-05,7.126984126984128e-05,449,,,,
,7.126984126984128e-05,7.126984126984128e-05,449,,,,
0,,,449,7.236289024353027,7.236289024353027,,
,7.920634920634921e-05,7.920634920634921e-05,499,,,,
,7.920634920634921e-05,7.920634920634921e-05,499,,,,
0,,,499,6.094821453094482,6.094821453094482,,
,8.714285714285715e-05,8.714285714285715e-05,549,,,,
,8.714285714285715e-05,8.714285714285715e-05,549,,,,
0,,,549,5.678756237030029,5.678756237030029,,
,9.507936507936508e-05,9.507936507936508e-05,599,,,,
,9.507936507936508e-05,9.507936507936508e-05,599,,,,
0,,,599,5.607006072998047,5.607006072998047,,
,9.966543405529143e-05,9.966543405529143e-05,649,,,,
,9.966543405529143e-05,9.966543405529143e-05,649,,,,
0,,,649,5.506574630737305,5.506574630737305,,
,9.878499735868991e-05,9.878499735868991e-05,699,,,,
,9.878499735868991e-05,9.878499735868991e-05,699,,,,
0,,,699,5.483802795410156,5.483802795410156,,
,9.79045606620884e-05,9.79045606620884e-05,749,,,,
,9.79045606620884e-05,9.79045606620884e-05,749,,,,
0,,,749,5.4729790687561035,5.4729790687561035,,
,9.70241239654869e-05,9.70241239654869e-05,799,,,,
,9.70241239654869e-05,9.70241239654869e-05,799,,,,
0,,,799,5.443019390106201,5.443019390106201,,
,9.614368726888537e-05,9.614368726888537e-05,849,,,,
,9.614368726888537e-05,9.614368726888537e-05,849,,,,
0,,,849,5.416228294372559,5.416228294372559,,
,9.526325057228385e-05,9.526325057228385e-05,899,,,,
,9.526325057228385e-05,9.526325057228385e-05,899,,,,
0,,,899,5.393405914306641,5.393405914306641,,
,9.438281387568233e-05,9.438281387568233e-05,949,,,,
,9.438281387568233e-05,9.438281387568233e-05,949,,,,
0,,,949,5.324863910675049,5.324863910675049,,
,9.350237717908083e-05,9.350237717908083e-05,999,,,,
,9.350237717908083e-05,9.350237717908083e-05,999,,,,
0,,,999,5.2780280113220215,5.2780280113220215,,
,9.262194048247932e-05,9.262194048247932e-05,1049,,,,
,9.262194048247932e-05,9.262194048247932e-05,1049,,,,
0,,,1049,5.270035743713379,5.270035743713379,,
0,,,1051,,,5.258028507232666,5.258028507232666
,9.17415037858778e-05,9.17415037858778e-05,1099,,,,
,9.17415037858778e-05,9.17415037858778e-05,1099,,,,
1,,,1099,5.263575077056885,5.263575077056885,,
,9.086106708927628e-05,9.086106708927628e-05,1149,,,,
,9.086106708927628e-05,9.086106708927628e-05,1149,,,,
1,,,1149,5.259316444396973,5.259316444396973,,
,8.998063039267476e-05,8.998063039267476e-05,1199,,,,
,8.998063039267476e-05,8.998063039267476e-05,1199,,,,
1,,,1199,5.210681915283203,5.210681915283203,,
,8.910019369607326e-05,8.910019369607326e-05,1249,,,,
,8.910019369607326e-05,8.910019369607326e-05,1249,,,,
1,,,1249,5.208213806152344,5.208213806152344,,
,8.821975699947175e-05,8.821975699947175e-05,1299,,,,
,8.821975699947175e-05,8.821975699947175e-05,1299,,,,
1,,,1299,5.2056474685668945,5.2056474685668945,,
,8.733932030287023e-05,8.733932030287023e-05,1349,,,,
,8.733932030287023e-05,8.733932030287023e-05,1349,,,,
1,,,1349,5.201344966888428,5.201344966888428,,
,8.645888360626871e-05,8.645888360626871e-05,1399,,,,
,8.645888360626871e-05,8.645888360626871e-05,1399,,,,
1,,,1399,5.155483245849609,5.155483245849609,,
,8.55784469096672e-05,8.55784469096672e-05,1449,,,,
,8.55784469096672e-05,8.55784469096672e-05,1449,,,,
1,,,1449,5.153400897979736,5.153400897979736,,
,8.469801021306568e-05,8.469801021306568e-05,1499,,,,
,8.469801021306568e-05,8.469801021306568e-05,1499,,,,
1,,,1499,5.152008056640625,5.152008056640625,,
,8.381757351646417e-05,8.381757351646417e-05,1549,,,,
,8.381757351646417e-05,8.381757351646417e-05,1549,,,,
1,,,1549,5.150881290435791,5.150881290435791,,
,8.293713681986266e-05,8.293713681986266e-05,1599,,,,
,8.293713681986266e-05,8.293713681986266e-05,1599,,,,
1,,,1599,5.150177001953125,5.150177001953125,,
,8.205670012326114e-05,8.205670012326114e-05,1649,,,,
,8.205670012326114e-05,8.205670012326114e-05,1649,,,,
1,,,1649,5.150137901306152,5.150137901306152,,
,8.117626342665963e-05,8.117626342665963e-05,1699,,,,
,8.117626342665963e-05,8.117626342665963e-05,1699,,,,
1,,,1699,5.148529052734375,5.148529052734375,,
,8.029582673005811e-05,8.029582673005811e-05,1749,,,,
,8.029582673005811e-05,8.029582673005811e-05,1749,,,,
1,,,1749,5.148218154907227,5.148218154907227,,
,7.941539003345659e-05,7.941539003345659e-05,1799,,,,
,7.941539003345659e-05,7.941539003345659e-05,1799,,,,
1,,,1799,5.147349834442139,5.147349834442139,,
,7.853495333685509e-05,7.853495333685509e-05,1849,,,,
,7.853495333685509e-05,7.853495333685509e-05,1849,,,,
1,,,1849,5.146403789520264,5.146403789520264,,
,7.765451664025357e-05,7.765451664025357e-05,1899,,,,
,7.765451664025357e-05,7.765451664025357e-05,1899,,,,
1,,,1899,5.1464128494262695,5.1464128494262695,,
,7.677407994365206e-05,7.677407994365206e-05,1949,,,,
,7.677407994365206e-05,7.677407994365206e-05,1949,,,,
1,,,1949,5.1449432373046875,5.1449432373046875,,
,7.589364324705054e-05,7.589364324705054e-05,1999,,,,
,7.589364324705054e-05,7.589364324705054e-05,1999,,,,
1,,,1999,5.145107746124268,5.145107746124268,,
,7.501320655044902e-05,7.501320655044902e-05,2049,,,,
,7.501320655044902e-05,7.501320655044902e-05,2049,,,,
1,,,2049,5.1450982093811035,5.1450982093811035,,
,7.413276985384751e-05,7.413276985384751e-05,2099,,,,
,7.413276985384751e-05,7.413276985384751e-05,2099,,,,
1,,,2099,5.143854141235352,5.143854141235352,,
1,,,2103,,,5.139487266540527,5.139487266540527
,7.3252333157246e-05,7.3252333157246e-05,2149,,,,
,7.3252333157246e-05,7.3252333157246e-05,2149,,,,
2,,,2149,5.143698692321777,5.143698692321777,,
,7.237189646064449e-05,7.237189646064449e-05,2199,,,,
,7.237189646064449e-05,7.237189646064449e-05,2199,,,,
2,,,2199,5.1435418128967285,5.1435418128967285,,
,7.149145976404297e-05,7.149145976404297e-05,2249,,,,
,7.149145976404297e-05,7.149145976404297e-05,2249,,,,
2,,,2249,5.143492221832275,5.143492221832275,,
,7.061102306744145e-05,7.061102306744145e-05,2299,,,,
,7.061102306744145e-05,7.061102306744145e-05,2299,,,,
2,,,2299,5.143049716949463,5.143049716949463,,
,6.973058637083994e-05,6.973058637083994e-05,2349,,,,
,6.973058637083994e-05,6.973058637083994e-05,2349,,,,
2,,,2349,5.142851829528809,5.142851829528809,,
,6.885014967423842e-05,6.885014967423842e-05,2399,,,,
,6.885014967423842e-05,6.885014967423842e-05,2399,,,,
2,,,2399,5.142525672912598,5.142525672912598,,
,6.796971297763692e-05,6.796971297763692e-05,2449,,,,
,6.796971297763692e-05,6.796971297763692e-05,2449,,,,
2,,,2449,5.142422199249268,5.142422199249268,,
